0,315
1,125
2,"Traceback (most recent call last):\n  File ""/tmp/tmpbr3l78dj.py"", line 19, in <module>\n    main()\n  File ""/tmp/tmpbr3l78dj.py"", line 13, in main\n    meet_time = lcm(dad_time, mom_time)\n                ^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/tmp/tmpbr3l78dj.py"", line 11, in lcm\n    return x * y // x.gcd(y)\n                    ^^^^^\nAttributeError: 'Fraction' object has no attribute 'gcd'"
3,50
4,4/5
5,1/5
6,15/2
7,6
8,140
9,3/5
10,560
11,1/2
12,110
13,23
14,1/5
15,644
16,4
17,1050
18,"Traceback (most recent call last):\n  File ""/tmp/tmp5m51x8fq.py"", line 4, in <module>\n    x = Fraction(10) * Fraction('a')  # 个位是0的加数\n                       ^^^^^^^^^^^^^\n  File ""/usr/local/lib/python3.11/fractions.py"", line 115, in __new__\n    raise ValueError('Invalid literal for Fraction: %r' %\nValueError: Invalid literal for Fraction: 'a'"
19,"Traceback (most recent call last):\n  File ""/tmp/tmptuf3fawa.py"", line 4, in <module>\n    x = Fraction('x')\n        ^^^^^^^^^^^^^\n  File ""/usr/local/lib/python3.11/fractions.py"", line 115, in __new__\n    raise ValueError('Invalid literal for Fraction: %r' %\nValueError: Invalid literal for Fraction: 'x'"
20,7
21,24/5
22,12
23,590
24,3
25,22
26,8/5
27,2400
28,24
29,-1008
30,240
31,450
32,7
33,166
34,2835
35,408
36,48
37,42
38,4000
39,20
40,314/5
41,"Traceback (most recent call last):\n  File ""/tmp/tmpgqyq0nv9.py"", line 5, in <module>\n    annual_interest_rate = Fraction(3.96, 100)\n                           ^^^^^^^^^^^^^^^^^^^\n  File ""/usr/local/lib/python3.11/fractions.py"", line 153, in __new__\n    raise TypeError(""both arguments should be ""\nTypeError: both arguments should be Rational instances"
42,58595.27865035
43,1000
44,2025
45,6156
46,2223.2
47,"Traceback (most recent call last):\n  File ""/tmp/tmpil4rgo_p.py"", line 11, in <module>\n    x = Fraction('x')\n        ^^^^^^^^^^^^^\n  File ""/usr/local/lib/python3.11/fractions.py"", line 115, in __new__\n    raise ValueError('Invalid literal for Fraction: %r' %\nValueError: Invalid literal for Fraction: 'x'"
48,900
49,"Traceback (most recent call last):\n  File ""/tmp/tmpikgnjrig.py"", line 12, in <module>\n    rate = Fraction(4.95, 100)\n           ^^^^^^^^^^^^^^^^^^^\n  File ""/usr/local/lib/python3.11/fractions.py"", line 153, in __new__\n    raise TypeError(""both arguments should be ""\nTypeError: both arguments should be Rational instances"
50,157
51,0.86
52,2096
53,5450.0
