0,```python\nfrom fractions import Fraction\n\n# 将小数转换为分数\nnum1 = Fraction('91.64')\nnum2 = Fraction('7.36')\nnum3 = Fraction('43.6')\nnum4 = Fraction('3.6')\n\n# 计算和、差、积\nsum_ = num1 + num2\ndiff_ = num3 - num4\nproduct_ = sum_ * diff_\n\n# 输出最终结果\nprint(product_)\n```
1,```python\nfrom fractions import Fraction\n\n# 定义总书本数和下层取出的书本数\ntotal_books = Fraction(164)\nbooks_taken = Fraction(9)\n\n# 设上层原有x本书，下层原有y本书\n# 根据题意，有以下两个方程：\n# x + y = 164\n# x - 9 = y + 9\n\n# 解方程组\n# x + y = 164\n# x = y + 18\n\n# 代入第一个方程\n# (y + 18) + y = 164\n# 2y + 18 = 164\n# 2y = 164 - 18\n# 2y = 146\n# y = 73\n\n# 求下层比上层多的书本数\nbooks_more = 73 - 18\n\n# 输出结果\nprint(books_more)\n```
2,```python\nfrom fractions import Fraction\n\n# 总人数：老师 + 同学\ntotal_people = Fraction(2 + 30)\n\n# 每条船最多坐的人数\npeople_per_boat = Fraction(3)\n\n# 计算至少需要多少条船\n# 使用天花板函数来确保即使多一个人也需要多一条船\nimport math\nboats_needed = math.ceil(total_people / people_per_boat)\n\n# 输出最终结果\nprint(boats_needed)\n```
3,"```python\nfrom fractions import Fraction\n\n# 定义时间单位转换：1小时 = 60分钟\nhour_to_minute = Fraction(60)\n\n# 老师讲课时间\nclass_time = Fraction(1, 5)\n# 小组合作时间\ngroup_work_time = Fraction(2, 15)\n# 一节课总时间（分钟）\ntotal_time_minutes = hour_to_minute * 35\n\n# 计算学生做练习的时间\npractice_time_minutes = total_time_minutes - (class_time + group_work_time)\n\n# 转换为小时\npractice_time_hours = practice_time_minutes / hour_to_minute\n\n# 输出最终结果\nprint(practice_time_hours)\n```"
4,```python\nfrom fractions import Fraction\n\n# 定义每盒蛋糕的价格和总金额\nprice_per_box = Fraction('7.90')\ntotal_money = Fraction('50')\n\n# 计算最多可以买多少盒蛋糕\nmax_boxes = total_money // price_per_box\n\n# 输出最终结果\nprint(max_boxes)\n```
5,```python\nfrom fractions import Fraction\n\n# 定义每分钟放映的影片长度\nlength_per_minute = Fraction(30)\n\n# 定义第一部和第二部的放映时间\ntime_first = Fraction(24)\ntime_second = Fraction(19)\n\n# 计算总长度\ntotal_length = (time_first + time_second) * length_per_minute\n\n# 输出最终结果\nprint(total_length)\n```
6,```python\nfrom fractions import Fraction\n\n# 定义泳道长度\nlane_length = Fraction(100)\n\n# 定义来回次数\nround_trips = Fraction(3)\n\n# 计算总距离（一个来回是两倍的泳道长度）\ntotal_distance = lane_length * round_trips * Fraction(2)\n\n# 输出最终结果\nprint(total_distance)\n```
7,"```python\nfrom fractions import Fraction\n\n# 定义税法规定的基本范围和税率\nbase_income = Fraction(3500)\nexcess_income = Fraction(5000)\ntax_rate = Fraction(3, 100)\n\n# 定义实际缴纳的个人所得税\nactual_tax = Fraction(15)\n\n# 计算超出部分的收入\nexcess_income = base_income + actual_tax / tax_rate\n\n# 计算实际拿到的工资\nactual_income = base_income + actual_tax\n\n# 输出最终结果\nprint(actual_income)\n```"
8,```python\nfrom fractions import Fraction\n\n# 定义已知数据\ntotal_cost = Fraction('14.7')\ncost_fairy_story = Fraction('5.9')\n\n# 计算另一本书的费用\ncost_math_world = total_cost - cost_fairy_story\n\n# 输出结果\nprint(float(cost_math_world))\n```
9,```python\nfrom fractions import Fraction\n\n# 定义甲处和乙处当前劳动的人数\npeople_at_a = Fraction(27)\npeople_at_b = Fraction(18)\n\n# 设从乙处调x人到甲处\n# 假设调到甲处后甲处劳动人数为people_at_a + x，乙处劳动人数为people_at_b - x\n# 根据题意，甲处劳动人数是乙处劳动人数的2倍，即：\n# people_at_a + x = 2 * (people_at_b - x)\n\n# 解方程\nx = (2 * people_at_b - 2 * people_at_a) / 3\n\n# 输出结果\nprint(x)\n```
